(2025-01-08 07:09:03,665) | root| INFO | => ----------------------the user open the app-------------------------------------
(2025-01-08 07:09:04,098) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,099) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,111) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,112) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,125) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,125) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,139) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,139) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,152) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,152) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,165) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,167) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,179) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,181) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,194) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,195) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,208) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,209) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,221) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:09:04,222) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:09:04,235) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:43,808) | root| INFO | => Image uploaded successfully.
(2025-01-08 07:14:43,840) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:43,860) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:43,876) | root| INFO | => Calculated FFT to uploaded Image
(2025-01-08 07:14:43,876) | root| INFO | => here in the widget number : 0
(2025-01-08 07:14:43,876) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:43,900) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:51,280) | root| INFO | => here in the widget number : 0
(2025-01-08 07:14:51,280) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:51,309) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,210) | root| INFO | => The Selected Mode is Real and Imaginary
(2025-01-08 07:14:54,210) | root| INFO | => here in the widget number : 0
(2025-01-08 07:14:54,211) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,225) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,226) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,239) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,240) | root| INFO | => here in the widget number : 0
(2025-01-08 07:14:54,240) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,254) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,254) | root| INFO | => here in the widget number : 0
(2025-01-08 07:14:54,255) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,270) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,271) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,285) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,286) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,300) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,301) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,315) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,316) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,330) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,332) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,346) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,347) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,361) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,362) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,376) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,377) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,392) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,392) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,406) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,407) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,422) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,422) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,437) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,438) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,452) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:54,453) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:54,467) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:14:57,539) | root| INFO | => here in the widget number : 0
(2025-01-08 07:14:57,539) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:14:57,555) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:07,732) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:07,733) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:07,749) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:09,837) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:09,837) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:09,853) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,340) | root| INFO | => ----------------------the user open the app-------------------------------------
(2025-01-08 07:15:37,405) | root| INFO | => The Selected Mode is Magnitude and Phase
(2025-01-08 07:15:37,405) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,413) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,413) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,434) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,436) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,450) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,451) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,461) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,461) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,478) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,479) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,490) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,490) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,506) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,506) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,520) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,520) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,522) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,522) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,536) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,536) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,552) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,552) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,575) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,576) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,585) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,590) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,600) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,600) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,615) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,615) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,636) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,637) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,658) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,663) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,679) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,679) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,695) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,695) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,712) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,712) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,728) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,728) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,744) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,744) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,759) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,759) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,776) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:37,776) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:37,797) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:40,968) | root| INFO | => Image uploaded successfully.
(2025-01-08 07:15:40,981) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:40,992) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:41,007) | root| INFO | => Calculated FFT to uploaded Image
(2025-01-08 07:15:41,007) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:41,007) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:41,023) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,653) | root| INFO | => The Selected Mode is Real and Imaginary
(2025-01-08 07:15:43,653) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:43,653) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,668) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,669) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,682) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,683) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:43,684) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,697) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,698) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:43,699) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,712) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,713) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,727) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,729) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,742) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,743) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,758) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,759) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,773) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,774) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,787) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,789) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,810) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,811) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,824) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,825) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,839) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,841) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,855) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,857) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,870) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,871) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,885) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,886) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,900) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:43,902) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:43,916) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:15:46,981) | root| INFO | => here in the widget number : 0
(2025-01-08 07:15:46,982) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:15:46,998) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,660) | root| INFO | => ----------------------the user open the app-------------------------------------
(2025-01-08 07:17:05,725) | root| INFO | => The Selected Mode is Magnitude and Phase
(2025-01-08 07:17:05,725) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,739) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,740) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,756) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,756) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,772) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,772) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,785) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,786) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,799) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,800) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,812) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,814) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,826) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,827) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,841) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,841) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,855) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,856) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,869) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,869) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,882) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,882) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,895) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,896) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,908) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,908) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,921) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,922) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,934) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,935) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,948) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,949) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,961) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,961) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,975) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,975) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:05,989) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:05,990) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:06,003) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:06,003) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:06,016) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:06,017) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:06,034) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:06,036) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:06,049) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:06,049) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:06,063) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:06,064) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:06,077) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:09,471) | root| INFO | => Image uploaded successfully.
(2025-01-08 07:17:09,485) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:09,501) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:09,515) | root| INFO | => Calculated FFT to uploaded Image
(2025-01-08 07:17:09,516) | root| INFO | => here in the widget number : 0
(2025-01-08 07:17:09,517) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:09,533) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:11,786) | root| INFO | => here in the widget number : 0
(2025-01-08 07:17:11,787) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:11,810) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:17:14,219) | root| INFO | => The Selected Mode is Real and Imaginary
(2025-01-08 07:17:14,220) | root| INFO | => here in the widget number : 0
(2025-01-08 07:17:14,220) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:14,238) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:14,247) | root| INFO | => here in the widget number : 0
(2025-01-08 07:17:14,248) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:14,261) | root| INFO | => here in the widget number : 0
(2025-01-08 07:17:14,262) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:17:19,065) | root| INFO | => here in the widget number : 0
(2025-01-08 07:17:19,065) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:07,842) | root| INFO | => ----------------------the user open the app-------------------------------------
(2025-01-08 07:18:07,905) | root| INFO | => The Selected Mode is Magnitude and Phase
(2025-01-08 07:18:07,905) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:07,923) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:07,923) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:07,940) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:07,940) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:07,956) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:07,957) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:07,972) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:07,973) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:07,988) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:07,989) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:08,005) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:08,005) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
(2025-01-08 07:18:08,021) | root| INFO | => Calculated FFT inverse Correctly and update the output widget
(2025-01-08 07:18:08,022) | root| INFO | => The Selected Mode is InsideRegion and selected widget is output_widget_1
